"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20121106429","100001","202","昆明能讯"
"10000002","EN20121106430","100001","203","远信科技"
"10000002","EN20121106431","100001","202","昆明能讯"
"10000002","EN20121106432","100001","202","昆明能讯"
"10000002","EN20121106433","100003","12","云电同方"
"10000003","EN20121106433","100003","12","云电同方"
"10000002","EN20121106434","100001","203","远信科技"
"10000002","EN20121106435","100001","203","远信科技"
"10000002","EN20121106436","100001","203","远信科技"
"10000002","EN20121106437","100001","203","远信科技"
"10000002","EN20121106438","100001","203","远信科技"
"10000002","EN20121106439","100001","203","远信科技"
"10000002","EN20121106440","100001","203","远信科技"
"10000002","EN20121106441","100001","203","远信科技"
"10000003","EN20121106442","100003","12","云电同方"
"10000002","EN20121106443","100001","12","云电同方"
"10000002","EN20121106444","100001","12","云电同方"
"10000002","EN20121107001","100001","203","远信科技"
"10000002","EN20121107002","100001","203","远信科技"
"10000002","EN20121107003","100001","12","云电同方"
"10000002","EN20121107004","100001","22","大理供电局"
"10000002","EN20121107005","100001","203","远信科技"
"10000003","EN20121107006","100003","12","云电同方"
"10000002","EN20121107007","100001","22","大理供电局"
"10000002","EN20121107008","100003","202","昆明能讯"
"10000003","EN20121107009","100001","203","远信科技"
"10000002","EN20121107010","100003","202","昆明能讯"
"10000003","EN20121107011","100003","12","云电同方"
"10000002","EN20121107012","100001","203","远信科技"
"10000003","EN20121107013","100003","19","楚雄供电局"
"10000002","EN20121107014","100003","202","昆明能讯"
"10000002","EN20121107015","100001","203","远信科技"
"10000002","EN20121107016","100001","203","远信科技"
"10000002","EN20121107017","100001","202","昆明能讯"
"10000002","EN20121107018","100003","202","昆明能讯"
"10000002","EN20121107019","100001","202","昆明能讯"
"10000002","EN20121107020","100001","12","云电同方"
"10000002","EN20121107021","100001","203","远信科技"
"10000002","EN20121107022","100001","203","远信科技"
"10000002","EN20121107023","100001","203","远信科技"
"10000003","EN20121107024","100003","25","临沧供电局"
"10000002","EN20121107025","100001","12","云电同方"
"10000002","EN20121107026","100001","203","远信科技"
"10000002","EN20121107027","100003","202","昆明能讯"
"10000003","EN20121107028","100001","203","远信科技"
"10000002","EN20121107029","100001","203","远信科技"
"10000002","EN20121107030","100001","203","远信科技"
"10000002","EN20121107031","100001","203","远信科技"
"10000002","EN20121107032","100001","203","远信科技"
"10000002","EN20121107033","100001","203","远信科技"
"10000002","EN20121107034","100001","203","远信科技"
"10000002","EN20121107035","100001","12","云电同方"
"10000002","EN20121107036","100001","12","云电同方"
"10000002","EN20121107037","100001","202","昆明能讯"
"10000002","EN20121107038","100001","12","云电同方"
"10000002","EN20121107039","100001","203","远信科技"
"10000002","EN20121107040","100001","12","云电同方"
"10000002","EN20121107041","100001","203","远信科技"
"10000003","EN20121107042","100001","19","楚雄供电局"
"10000002","EN20121107043","100001","203","远信科技"
"10000002","EN20121107044","100001","12","云电同方"
"10000002","EN20121107045","100001","202","昆明能讯"
"10000002","EN20121107046","100001","203","远信科技"
"10000002","EN20121107047","100001","203","远信科技"
"10000002","EN20121107048","100001","202","昆明能讯"
"10000002","EN20121107049","100001","203","远信科技"
"10000002","EN20121107050","100001","203","远信科技"
"10000003","EN20121107051","100003","19","楚雄供电局"
"10000002","EN20121107052","100001","12","云电同方"
"10000002","EN20121107053","100001","203","远信科技"
"10000003","EN20121107054","100003","12","云电同方"
"10000002","EN20121107055","100001","203","远信科技"
"10000002","EN20121107056","100001","12","云电同方"
"10000003","EN20121107057","100003","12","云电同方"
"10000002","EN20121107058","100001","202","昆明能讯"
"10000002","EN20121107059","100001","203","远信科技"
"10000002","EN20121107060","100001","12","云电同方"
"10000002","EN20121107061","100001","203","远信科技"
"10000002","EN20121107062","100001","202","昆明能讯"
"10000002","EN20121107063","100001","202","昆明能讯"
"10000002","EN20121107064","100001","12","云电同方"
"10000003","EN20121107065","100001","18","玉溪供电局"
"10000002","EN20121107066","100001","12","云电同方"
"10000003","EN20121107067","100001","202","昆明能讯"
"10000002","EN20121107068","100003","202","昆明能讯"
"10000003","EN20121107069","100003","12","云电同方"
"10000003","EN20121107070","100001","18","玉溪供电局"
"10000002","EN20121107071","100001","203","远信科技"
"10000002","EN20121107072","100001","203","远信科技"
"10000002","EN20121107073","100001","202","昆明能讯"
"10000003","EN20121107074","100003","12","云电同方"
"10000003","EN20121107075","100003","19","楚雄供电局"
"10000002","EN20121107076","100001","202","昆明能讯"
"10000002","EN20121107077","100001","202","昆明能讯"
"10000002","EN20121107078","100001","202","昆明能讯"
"10000003","EN20121107079","100001","18","玉溪供电局"
"10000002","EN20121107080","100001","202","昆明能讯"
"10000002","EN20121107081","100001","202","昆明能讯"
"10000002","EN20121107082","100001","203","远信科技"
"10000002","EN20121107083","100001","12","云电同方"
"10000002","EN20121107084","100001","202","昆明能讯"
"10000003","EN20121107085","100001","18","玉溪供电局"
"10000003","EN20121107086","100001","12","云电同方"
"10000002","EN20121107087","100001","203","远信科技"
"10000002","EN20121107088","100001","202","昆明能讯"
"10000002","EN20121107089","100001","202","昆明能讯"
"10000002","EN20121107090","100001","203","远信科技"
"10000003","EN20121107091","100003","12","云电同方"
"10000002","EN20121107092","100001","203","远信科技"
"10000002","EN20121107093","100001","12","云电同方"
"10000002","EN20121107094","100001","12","云电同方"
"10000002","EN20121107095","100001","202","昆明能讯"
"10000002","EN20121107096","100001","26","西双版纳供电局"
"10000002","EN20121107097","100001","203","远信科技"
"10000002","EN20121107098","100001","203","远信科技"
"10000002","EN20121107099","100001","12","云电同方"
"10000002","EN20121107100","100001","203","远信科技"
"10000002","EN20121107101","100001","203","远信科技"
"10000002","EN20121107102","100001","12","云电同方"
"10000002","EN20121107103","100001","12","云电同方"
"10000002","EN20121107104","100001","203","远信科技"
"10000003","EN20121107105","100001","12","云电同方"
"10000003","EN20121107106","100003","202","昆明能讯"
"10000003","EN20121107107","100001","203","远信科技"
"10000002","EN20121107108","100001","202","昆明能讯"
"10000002","EN20121107109","100001","203","远信科技"
"10000002","EN20121107110","100001","12","云电同方"
