"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000003","EN20120703208","100003","12","云电同方"
"10000002","EN20120703209","100001","202","昆明能讯"
"10000003","EN20120703210","100003","12","云电同方"
"10000003","EN20120703211","100003","12","云电同方"
"10000002","EN20120703212","100001","202","昆明能讯"
"10000002","EN20120703213","100001","203","远信科技"
"10000002","EN20120703214","100001","203","远信科技"
"10000002","EN20120703215","100001","203","远信科技"
"10000002","EN20120703216","100001","12","云电同方"
"10000003","EN20120703217","100001","12","云电同方"
"10000002","EN20120703218","100001","12","云电同方"
"10000002","EN20120703219","100001","12","云电同方"
"10000003","EN20120703220","100003","12","云电同方"
"10000003","EN20120703221","100001","12","云电同方"
"10000002","EN20120703222","100001","12","云电同方"
"10000002","EN20120703223","100001","203","远信科技"
"10000002","EN20120703224","100001","203","远信科技"
"10000003","EN20120703225","100001","203","远信科技"
"10000002","EN20120703226","100001","203","远信科技"
"10000002","EN20120703227","100001","203","远信科技"
"10000002","EN20120703228","100001","203","远信科技"
"10000002","EN20120703229","100001","203","远信科技"
"10000002","EN20120703230","100001","203","远信科技"
"10000002","EN20120703231","100001","12","云电同方"
"10000002","EN20120703232","100001","12","云电同方"
"10000003","EN20120703233","100001","12","云电同方"
"10000002","EN20120703234","100001","203","远信科技"
"10000002","EN20120703235","100001","203","远信科技"
"10000002","EN20120703236","100001","12","云电同方"
"10000002","EN20120703237","100003","12","云电同方"
"10000003","EN20120703237","100003","12","云电同方"
"10000003","EN20120703238","100003","12","云电同方"
"10000002","EN20120703239","100001","203","远信科技"
"10000002","EN20120703240","100001","203","远信科技"
"10000003","EN20120703241","100001","203","远信科技"
"10000002","EN20120703242","100001","203","远信科技"
"10000002","EN20120703243","100001","203","远信科技"
"10000002","EN20120703244","100001","202","昆明能讯"
"10000002","EN20120703245","100001","203","远信科技"
